severity,max_disp_px,mean_disp_px,reg_err_mean,reg_err_median,reg_err_p90,reg_err_mean_argmax,reg_err_median_argmax,reg_err_p90_argmax,n_reg_scored,paste2_acc,random_floor,n_label_scored,runtime_s
0.0,411.01094875927566,165.16530366694553,473.3012284762694,406.90808358472634,922.0769834419874,490.7522411273841,414.5419158541148,965.898486774733,3482,0.725,0.17406137061548166,3600,287.83160066604614
1.0,537.6988817527442,255.5650922365854,473.5010498998955,403.7622849324915,935.1290798562306,489.687186285834,414.1732727596875,965.9368509379897,3482,0.7261111111111112,0.17406137061548166,3600,25978.519949436188
2.0,1075.3977635054885,511.1301844731708,486.199038005348,413.01089574005164,965.3108307690327,505.5563150953473,414.5419158541148,995.0894316129649,3478,0.7213888888888889,0.17406137061548166,3600,237.62173199653625
3.0,1613.0966452582327,766.6952767097561,508.36092069687317,414.65286686576763,994.0593589728041,525.8818001275881,476.95387617672213,1044.1915533081083,3477,0.7113888888888888,0.17406137061548166,3600,295.51720547676086
4.0,2150.795527010977,1022.2603689463416,540.2056352496268,464.98191418931253,1080.0754478805643,561.3669166721784,479.0167011702202,1106.050179530528,3476,0.6986111111111111,0.17406137061548166,3600,463.19526290893555
6.0,3226.1932905164654,1533.3905534195121,607.869269120318,496.47759264643554,1230.2731191112985,626.7303261270017,498.0040160480636,1267.1294330099038,3474,0.6744444444444444,0.17406137061548166,3600,253.47551321983337
8.0,4301.591054021954,2044.5207378926832,687.7229208819377,551.0145188649751,1402.4986527783424,706.3470696101059,600.374882885685,1444.6495071305649,3475,0.6522222222222223,0.17406137061548166,3600,273.80750465393066
