severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,8.94427190999916,170.06973271607032,418.57610378185353,4182
1.0,119.72143242983405,254.84856643531097,538.7380462296201,4182
2.0,235.79886565946566,506.33833479440756,1070.2414527480648,4182
3.0,352.1694521387352,757.8833416731977,1601.6850645004927,4182
4.0,468.0420438017602,1009.4422822090067,2133.3051635349348,4182
6.0,700.2478756712455,1512.5741889067806,3196.0831417868617,4182
8.0,931.5116347873358,2015.7131290714092,4258.823353578809,4182
