severity,max_disp_px,mean_disp_px,reg_err_mean,reg_err_median,reg_err_p90,n_reg_scored,paste2_acc,random_floor,n_label_scored,runtime_s
0.0,411.01094875927566,165.0981479847364,764.5898686220688,658.0921070903232,1451.422527802905,4157,0.6438388625592417,0.18663753269612066,4220,253.27941966056824
1.0,542.0873679512177,253.48097559187033,762.1492231995817,655.4479372306515,1441.927949278168,4156,0.6440758293838863,0.18663753269612066,4220,248.30027556419373
2.0,1084.1747359024355,506.96195118374067,780.3181930704421,688.9794308838939,1475.8585932751455,4155,0.632788438758588,0.18663753269612066,4221,290.41528606414795
3.0,1626.2621038536533,760.442926775611,806.188448328091,716.2750733852548,1536.3715659793377,4154,0.6218009478672986,0.18663753269612066,4220,315.45588541030884
4.0,2168.349471804871,1013.9239023674813,836.9450769884792,729.3202314484358,1597.5595386696964,4155,0.6130331753554502,0.18663753269612066,4220,247.86286330223083
6.0,3252.5242077073067,1520.885853551222,910.7341527727885,773.0326011553688,1756.2672753944184,4157,0.5954976303317535,0.18663753269612066,4220,254.33238339424133
8.0,4336.698943609742,2027.8478047349627,983.1540138858678,838.2004533522993,1932.4262193739214,4158,0.5751184834123223,0.18663753269612066,4220,329.3054025173187
