severity,median_mean,median_std,median_ci,mean_mean,p90_mean,snap_median_mean,snap_median_ci
0.0,98.75915578664628,0.2967253518703853,0.2600912385124525,116.53031615980713,202.17180140149986,137.92751719653333,0.0
1.0,98.7691917459566,0.5023473435827196,0.4403268609584222,116.0978775642039,199.2774636009609,137.92751719653333,0.0
2.0,99.42853342312446,0.7240792231751073,0.6346834227329942,120.5776499591105,207.98099215852426,137.92751719653333,0.0
3.0,100.01239194628604,1.5228904804699965,1.3348723615543454,126.31024150263042,215.42478695960327,137.92751719653333,0.0
4.0,100.70951678968578,1.8298866744778648,1.6039663901393857,135.10273700636412,224.92248806685325,137.92751719653333,0.0
6.0,102.26684430192566,4.047630782194046,3.5479048101081605,166.93068634927707,279.46405352769455,137.94201375722668,0.028413258958934647
8.0,105.73703547635736,7.327538750279003,6.422870903327981,217.04642856128413,468.4858887509743,137.94201375722668,0.028413258958934647
